,rok,měsíc,den,T-AVG,TMA,TMI,SRA,Flag
0,1775,1,1,-7.0,-4.8,-10.1,,
1,1775,1,2,-2.2,-1.4,-5.8,,
2,1775,1,3,-1.0,0.6,-2.2,,
3,1775,1,4,0.1,2.5,-3.6,,
4,1775,1,5,2.2,3.0,1.6,,
5,1775,1,6,3.2,4.0,1.6,,
6,1775,1,7,3.5,4.0,3.1,,
7,1775,1,8,4.1,5.0,2.7,,
8,1775,1,9,4.0,6.3,2.7,,
9,1775,1,10,2.0,3.0,0.5,,
10,1775,1,11,3.7,5.6,2.4,,
11,1775,1,12,3.7,5.0,1.9,,
12,1775,1,13,2.7,4.0,1.6,,
13,1775,1,14,2.9,5.0,1.9,,
14,1775,1,15,2.2,3.2,1.0,,
15,1775,1,16,0.1,2.0,-0.9,,
16,1775,1,17,1.2,3.0,0.2,,
17,1775,1,18,-0.3,0.7,-1.6,,
18,1775,1,19,0.5,1.7,-0.5,,
19,1775,1,20,-0.5,0.4,-1.6,,
20,1775,1,21,-0.3,0.6,-1.1,,
21,1775,1,22,-1.3,1.2,-3.8,,
22,1775,1,23,-5.0,-2.3,-7.0,,
23,1775,1,24,-10.4,-6.2,-11.5,,
24,1775,1,25,-11.1,-8.7,-13.0,,
25,1775,1,26,-8.3,-3.1,-16.0,,
26,1775,1,27,-1.1,1.8,-4.4,,
27,1775,1,28,-3.8,-0.9,-7.8,,
28,1775,1,29,4.7,6.0,-1.6,,
29,1775,1,30,8.5,10.5,5.7,,
30,1775,1,31,8.4,9.9,6.0,,
31,1775,2,1,8.5,10.3,6.3,,
32,1775,2,2,7.0,8.5,4.9,,
33,1775,2,3,8.7,9.9,6.0,,
34,1775,2,4,10.9,12.4,9.5,,
35,1775,2,5,2.2,10.8,-2.2,,
36,1775,2,6,-7.7,-0.7,-8.8,,
37,1775,2,7,-4.5,-1.0,-9.1,,
38,1775,2,8,5.5,7.3,-2.0,,
39,1775,2,9,9.3,11.4,6.1,,
40,1775,2,10,12.8,14.5,10.8,,
41,1775,2,11,12.4,15.4,10.1,,
42,1775,2,12,7.7,11.0,5.5,,
43,1775,2,13,5.0,7.8,3.4,,
44,1775,2,14,3.1,4.3,2.0,,
45,1775,2,15,5.0,7.4,2.6,,
46,1775,2,16,2.6,4.9,1.6,,
47,1775,2,17,2.5,3.8,0.5,,
48,1775,2,18,3.5,4.9,1.0,,
49,1775,2,19,5.4,7.3,3.7,,
50,1775,2,20,3.9,5.2,2.0,,
51,1775,2,21,4.7,6.8,3.6,,
52,1775,2,22,4.6,6.2,3.2,,
53,1775,2,23,4.7,6.2,3.4,,
54,1775,2,24,5.0,7.4,2.7,,
55,1775,2,25,6.1,8.4,3.8,,
56,1775,2,26,4.9,7.4,2.7,,
57,1775,2,27,3.9,6.1,1.6,,
58,1775,2,28,4.1,7.3,2.1,,
59,1775,3,1,1.3,4.9,-2.8,,
60,1775,3,2,2.2,6.1,-2.3,,
61,1775,3,3,3.7,7.3,-1.2,,
62,1775,3,4,4.5,7.5,0.5,,
63,1775,3,5,4.3,6.2,2.6,,
64,1775,3,6,4.9,7.3,1.9,,
65,1775,3,7,7.8,12.1,2.0,,
66,1775,3,8,8.6,14.2,6.0,,
67,1775,3,9,7.6,11.0,4.6,,
68,1775,3,10,7.9,12.3,5.0,,
69,1775,3,11,5.8,8.4,2.6,,
70,1775,3,12,5.7,9.6,3.8,,
71,1775,3,13,5.0,8.4,2.7,,
72,1775,3,14,4.2,6.5,0.3,,
73,1775,3,15,6.2,9.6,0.5,,
74,1775,3,16,5.0,6.9,3.5,,
75,1775,3,17,6.4,9.8,3.0,,
76,1775,3,18,8.2,14.2,1.0,,
77,1775,3,19,8.9,12.2,4.5,,
78,1775,3,20,8.5,11.2,5.5,,
79,1775,3,21,9.2,12.5,5.5,,
80,1775,3,22,10.5,12.8,8.4,,
81,1775,3,23,10.3,12.4,8.0,,
82,1775,3,24,11.1,13.3,8.9,,
83,1775,3,25,11.0,13.3,8.8,,
84,1775,3,26,6.6,10.7,3.5,,
85,1775,3,27,4.3,7.5,0.9,,
86,1775,3,28,3.8,6.4,-0.7,,
87,1775,3,29,4.3,5.2,3.8,,
88,1775,3,30,6.4,9.7,0.7,,
89,1775,3,31,3.7,7.6,2.3,,
90,1775,4,1,4.5,6.6,0.7,,
91,1775,4,2,5.4,10.2,0.2,,
92,1775,4,3,6.5,10.8,2.7,,
93,1775,4,4,6.7,11.4,1.8,,
94,1775,4,5,6.4,9.8,2.4,,
95,1775,4,6,7.6,12.1,4.3,,
96,1775,4,7,8.1,14.2,2.1,,
97,1775,4,8,6.1,9.2,3.0,,
98,1775,4,9,5.6,7.5,3.6,,
99,1775,4,10,2.8,5.6,-0.6,,
100,1775,4,11,2.6,7.3,-1.7,,
101,1775,4,12,2.8,6.1,-1.0,,
102,1775,4,13,0.7,2.8,0.0,,
103,1775,4,14,-1.2,0.6,-3.0,,
104,1775,4,15,2.5,7.3,-3.3,,
105,1775,4,16,5.0,6.8,0.4,,
106,1775,4,17,7.7,9.9,4.8,,
107,1775,4,18,7.0,9.3,4.7,,
108,1775,4,19,6.6,9.2,3.6,,
109,1775,4,20,5.4,7.2,3.8,,
110,1775,4,21,6.9,10.8,4.1,,
111,1775,4,22,6.9,12.1,1.4,,
112,1775,4,23,8.3,14.2,1.4,,
113,1775,4,24,8.6,13.3,3.0,,
114,1775,4,25,10.3,15.3,4.7,,
115,1775,4,26,11.6,17.5,6.1,,
116,1775,4,27,14.3,20.0,8.0,,
117,1775,4,28,16.5,22.1,10.3,,
118,1775,4,29,17.8,23.0,11.3,,
119,1775,4,30,18.0,23.1,13.9,,
120,1775,5,1,12.1,17.6,8.3,,
121,1775,5,2,11.1,15.4,4.6,,
122,1775,5,3,12.2,16.5,7.0,,
123,1775,5,4,14.0,18.6,6.9,,
124,1775,5,5,18.0,23.1,12.5,,
125,1775,5,6,17.9,21.1,14.1,,
126,1775,5,7,18.2,22.4,13.1,,
127,1775,5,8,14.5,20.6,10.6,,
128,1775,5,9,14.9,17.5,10.6,,
129,1775,5,10,14.8,20.0,11.4,,
130,1775,5,11,14.2,16.5,10.8,,
131,1775,5,12,13.1,16.4,10.2,,
132,1775,5,13,12.5,15.5,8.3,,
133,1775,5,14,13.1,17.5,7.3,,
134,1775,5,15,14.8,18.3,10.1,,
135,1775,5,16,17.0,20.4,11.1,,
136,1775,5,17,12.6,17.0,9.8,,
137,1775,5,18,8.1,11.4,5.8,,
138,1775,5,19,9.1,12.2,5.9,,
139,1775,5,20,10.5,14.2,5.7,,
140,1775,5,21,11.6,14.5,6.9,,
141,1775,5,22,14.3,17.7,10.1,,
142,1775,5,23,16.4,19.5,11.8,,
143,1775,5,24,17.5,21.1,11.8,,
144,1775,5,25,17.8,20.8,14.9,,
145,1775,5,26,14.3,17.0,12.1,,
146,1775,5,27,13.0,15.5,10.0,,
147,1775,5,28,15.0,19.0,10.4,,
148,1775,5,29,13.5,15.5,12.6,,
149,1775,5,30,15.3,18.3,11.4,,
150,1775,5,31,14.4,17.1,12.0,,
151,1775,6,1,13.2,16.3,11.0,,
152,1775,6,2,13.4,15.4,10.0,,
153,1775,6,3,15.9,18.7,11.7,,
154,1775,6,4,16.5,19.2,13.0,,
155,1775,6,5,19.6,23.5,13.7,,
156,1775,6,6,19.7,26.8,13.1,,
157,1775,6,7,22.5,26.9,14.2,,
158,1775,6,8,19.9,24.6,14.2,,
159,1775,6,9,21.9,26.3,15.8,,
160,1775,6,10,21.9,26.8,16.4,,
161,1775,6,11,23.1,26.9,17.0,,
162,1775,6,12,19.5,23.2,16.5,,
163,1775,6,13,20.5,24.4,17.5,,
164,1775,6,14,20.6,25.1,17.1,,
165,1775,6,15,20.6,25.4,16.1,,
166,1775,6,16,19.7,22.6,15.7,,
167,1775,6,17,19.2,24.1,17.0,,
168,1775,6,18,21.0,25.0,15.2,,
169,1775,6,19,21.4,25.4,17.1,,
170,1775,6,20,21.1,24.5,16.4,,
171,1775,6,21,20.6,26.2,16.9,,
172,1775,6,22,21.8,25.8,15.7,,
173,1775,6,23,20.8,24.5,17.0,,
