Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN10204,,,,2.0,Meal Plan 2,,Room_Type 6,,2018.0,9.0,,Online,0.0,0.0,,,1.0,0.0
INN20020,,,,2.0,Meal Plan 1,,,,,12.0,,Online,0.0,0.0,0.0,,,0.0
INN16435,1.0,,,2.0,,0.0,Room_Type 1,,2018.0,11.0,,,0.0,0.0,,,1.0,0.0
INN07143,3.0,,,3.0,,,,100.0,2018.0,5.0,,Online,0.0,0.0,,,2.0,0.0
INN20511,1.0,0.0,1.0,1.0,Meal Plan 1,0.0,,,2018.0,11.0,,,0.0,0.0,0.0,150.0,,1.0
INN17688,1.0,0.0,,3.0,Meal Plan 1,,,,2017.0,9.0,,,0.0,0.0,0.0,,1.0,0.0
INN28822,2.0,,,2.0,,,Room_Type 1,95.0,2018.0,5.0,,,0.0,0.0,0.0,80.75,0.0,0.0
INN33792,1.0,,0.0,,Meal Plan 2,0.0,,,2018.0,6.0,24.0,,0.0,0.0,,,0.0,0.0
INN12973,2.0,,,,,0.0,,,2018.0,8.0,2.0,Online,0.0,0.0,0.0,121.5,2.0,1.0
INN22630,2.0,,,5.0,,,Room_Type 1,,2017.0,9.0,,,0.0,0.0,0.0,,0.0,0.0
INN14704,,,0.0,1.0,,0.0,,47.0,2018.0,6.0,21.0,,0.0,0.0,,,,0.0
INN27245,1.0,,,,Not Selected,0.0,,,2018.0,6.0,14.0,,,0.0,,89.0,1.0,0.0
INN32572,2.0,,,2.0,,,Room_Type 1,,2018.0,3.0,,,,0.0,0.0,,0.0,1.0
INN35292,,,,1.0,,,Room_Type 1,,2018.0,10.0,,Online,,0.0,0.0,,1.0,1.0
INN06494,2.0,,,2.0,,0.0,,,2018.0,9.0,,Online,,0.0,0.0,169.0,1.0,0.0
INN29230,2.0,,,2.0,,0.0,,,2017.0,9.0,,Offline,,0.0,,,0.0,0.0
INN21887,,,,,,,Room_Type 1,,2018.0,,,,,0.0,,,1.0,0.0
INN24920,2.0,,0.0,,,,,,2018.0,7.0,,Online,,0.0,0.0,,2.0,0.0
INN24348,,,,2.0,Meal Plan 1,0.0,,116.0,2018.0,2.0,28.0,Online,0.0,0.0,,,0.0,0.0
INN33475,3.0,,,5.0,,0.0,,,2018.0,7.0,,,,0.0,0.0,,0.0,0.0
INN13996,2.0,,,2.0,Meal Plan 2,,,43.0,2018.0,3.0,,,0.0,0.0,,,1.0,1.0
INN01531,2.0,,,1.0,Meal Plan 1,,Room_Type 1,,2018.0,8.0,,,,0.0,0.0,112.5,,1.0
INN16737,1.0,,0.0,,,,,148.0,2018.0,5.0,,Online,,0.0,0.0,,,0.0
INN25618,2.0,,,,,,,,2018.0,,28.0,Online,0.0,0.0,,,0.0,0.0
INN15987,,1.0,1.0,,,,,,2018.0,8.0,,,,0.0,0.0,134.1,,0.0
INN01704,2.0,,,,,0.0,,,2017.0,10.0,,,,0.0,,,,1.0
INN14705,1.0,,,6.0,,,,,2018.0,4.0,,Aviation,,0.0,0.0,95.0,,1.0
INN19988,3.0,,1.0,,,,,104.0,2018.0,7.0,,Online,,0.0,0.0,,2.0,0.0
INN28136,2.0,,2.0,2.0,,0.0,,,2018.0,11.0,,Offline,,0.0,,,0.0,0.0
INN04581,2.0,,,,,0.0,,,2017.0,8.0,,,,0.0,,,,0.0
INN28462,2.0,,,,Meal Plan 1,,Room_Type 1,,2018.0,4.0,,,,0.0,0.0,167.0,,0.0
INN16229,3.0,,,2.0,,0.0,,,2018.0,12.0,,Online,,0.0,0.0,,2.0,0.0
INN30279,2.0,,,,,1.0,,184.0,,8.0,,,0.0,0.0,,,,1.0
INN06898,,,,,,0.0,Room_Type 1,5.0,2018.0,9.0,6.0,Online,,0.0,,110.11,1.0,0.0
INN36161,2.0,,1.0,1.0,Not Selected,0.0,Room_Type 1,,2018.0,9.0,26.0,,,0.0,0.0,107.1,0.0,1.0
INN04157,2.0,,,2.0,Meal Plan 1,0.0,,,2018.0,10.0,21.0,Offline,0.0,0.0,,,1.0,0.0
INN18683,1.0,,,1.0,,0.0,,,2018.0,11.0,,Online,,0.0,,,0.0,1.0
INN28977,2.0,,2.0,1.0,,0.0,Room_Type 1,,2018.0,4.0,9.0,Online,,0.0,0.0,,1.0,0.0
INN18559,3.0,,,2.0,,,Room_Type 4,,2018.0,4.0,,,0.0,0.0,,137.7,1.0,1.0
INN03446,3.0,,0.0,1.0,Meal Plan 1,,,,2018.0,12.0,,Offline,,0.0,0.0,,1.0,0.0
INN02363,2.0,0.0,,,Not Selected,,,,,11.0,,Online,0.0,0.0,0.0,,1.0,
INN24749,2.0,,,2.0,Meal Plan 1,0.0,Room_Type 1,,,12.0,23.0,Online,,0.0,0.0,,1.0,0.0
INN21217,2.0,,,2.0,Meal Plan 2,,,,2018.0,4.0,24.0,Online,,0.0,,,1.0,0.0
INN16004,2.0,,,5.0,,0.0,Room_Type 1,,2018.0,12.0,,Offline,,0.0,0.0,70.0,0.0,0.0
INN32934,2.0,0.0,,,Not Selected,0.0,,1.0,2018.0,8.0,,,0.0,0.0,0.0,,2.0,0.0
INN17104,3.0,,,2.0,,0.0,,83.0,2018.0,12.0,,,0.0,0.0,0.0,,2.0,0.0
INN03439,2.0,0.0,,4.0,,0.0,,,2018.0,5.0,,,,0.0,,,,1.0
INN22519,2.0,,,,Meal Plan 1,,,,2018.0,5.0,,Online,,0.0,,,0.0,1.0
INN14171,2.0,0.0,,1.0,,0.0,Room_Type 1,,2018.0,5.0,,Online,0.0,0.0,0.0,,1.0,0.0
