BPSS1512;BPSL2520;BPSL2522;BPSS1525;BPSS1516;BPSL2096;BPSS1722;BPSS2141;BPSL2698;BPSS0476;BPSS1588;BPSL2030;BPSL1207;BPSL0326;BPSL0739;BPSS2160;BPSS2052;BPSS0421;BPSS1434;BPSS1652;BPSS0879;BPSL0881;BPSS0065;BPSS0144;BPSS0783;BPSL0093;BPSS0943;BPSS1530;BPSS0783;BPSL2697;BPSS0477;BPSS1492;BPSS0530;BPSL3222;BPSS2013;BPSL1661;BPSS1727;BPSS2053;BPSS2136;BPSL2559;BPSL1661;BPSS1649;BPSS0708;BPSS0122;BPSS1535;BPSL1465;BPSL3213;BPSL0919;BPSL0280;BPSS0796;BPSS1599;BPSL0999;BPSL0280;BPSL1445;BPSL2615;BPSS1993;BPSS1385;BPSS0542;BPSS1544;BPSL2919;BPSL3247;BPSS1546;BPSL2017;BPSS1743;BPSS1778;BPSS0962;BPSS1532;BPSS1532;BPSL3319;BPSL0041;BPSL3130;BPSL0360;BPSS1547;BPSL2283;BPSL2504;BPSL1901;BPSS2043;BPSS2053;BPSL1431;BPSL1050;BPSS2053;BPSL2063;BPSS1531;BPSL2765;BPSL3341;BPSL3398;BPSL2765;BPSS1434;BPSS2053;BPSL1902;BPSL2827;BPSL1913;BPSL1661;BPSL1661;BPSS1974;BPSS0088;BPSL1317;BPSL0014;BPSS1600;BPSS0933;BPSL0665;BPSS0402;BPSL1317;BPSL1661;BPSL1600;BPSL1631;BPSS0734;BPSS2145;BPSS1742;BPSS1534;BPSS0140;BPSL1173;BPSS2053;BPSS2331;BPSS0109;BPSL1937;BPSS0752;BPSS0940;BPSS1337;BPSL2499;BPSL1745;BPSS0593;BPSS1390;BPSS2288;BPSL0782;BPSL1661;BPSS1434;BPSS1617;BPSL1108;BPSL2638;BPSS0752;BPSL1597;BPSL1661;BPSS2053;BPSS2053;BPSS0784;BPSS1439;BPSL1516;BPSL3336;BPSS1624;BPSS0796;BPSS1406;BPSS0908;BPSS1591;BPSS2194;BPSL2298;BPSS1545;BPSS0663;BPSL2277;BPSL2756;BPSL1626;BPSS2193;BPSS1434;BPSL0262;BPSS0091;BPSS1439;BPSL3396;BPSS0455;BPSL1606;BPSL2031;BPSS0564;BPSL1705;BPSL1631;BPSS0212;BPSL1629;BPSL1955;BPSS0893;BPSS1394;BPSS0094;BPSS1610;BPSL1925;BPSS0252;BPSS2192;BPSL2029;BPSL1661;BPSS2185;BPSL1021;BPSL2158;BPSS2053;BPSL3228;BPSL1661;BPSL2752;BPSL0814;BPSS2186;BPSS1199;BPSL0007;BPSS0123;BPSL1661;BPSS1850;BPSL1900;BPSS1845;BPSS1594;BPSS2289;BPSS2053;BPSS1679;BPSL1821;BPSS0839;BPSS0467;BPSL1661;BPSL2748;BPSL1549;BPSL1889;BPSS1068;BPSS1620;BPSL2015;BPSS1998;BPSS2277;BPSL0606;BPSS0226;BPSS1401;BPSL0361;BPSS0796;BPSS1382;BPSS0412;Target
0;0;0;0;0;0;0;333.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7635.5;10467.5;0;561.5;0;0;0;0;0;0;0;0;0;0;0;0;1145.5;4999.5;11651.5;0;0;1160.5;4143.5;0;1173.5;1385.5;0;0;0;0;0;0;0;0;0;0;0;9851.5;274.5;3350.5;12506.5;14150.5;20145.5;18255.5;11166.5;20514.5;0;11164.5;9773.5;10834.5;4262.5;26059.5;1149.5;2693.5;21818.5;2050.5;0;18812.5;14.May;56515.5;1087.5;1124.5;21718.5;0;39418.5;0;0;0;3373.5;3157.5;0;2746.5;0;0;0;0;0;1255.5;142.5;13252.5;5441.5;0;0;0;0;0;0;0;2226.5;1148.5;0;165.5;1623.5;0;7801.5;0;0;0;0;0;0;0;0;0;21003.5;0;0;5682.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120.5;0;0;0;0;0;1.May;0;0;0;820.5;0;69.5;0;0;0;0;0;0;7482.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oct.33;162.33;132.33;50.33;64.33;0;135.33;682.33;0;13.33;24.33;0;0;121.33;55.33;45.33;2596.33;0;136.33;Oct.33;0;112.33;0;0;0;32.33;126.33;0;0;51.33;372.33;1598.33;186.33;0;0;54.33;0;72.33;0;0;0;0;0;14.33;0;1461.33;0;0;0;355.33;1379.33;330.33;133.33;94.33;313.33;292.33;0;416.33;1491.33;May.33;610.33;193.33;15.33;63.33;42.33;32.33;188.33;171.33;0;18.33;50.33;164.33;145.33;47.33;50.33;8286.33;0;3649.33;0;14.33;7146.33;24033.33;4053.33;385.33;45.33;15.33;143.33;7981.33;2675.33;2842.33;Jan.33;882.33;108.33;32.33;1122.33;1819.33;0;2126.33;639.33;236.33;1533.33;159.33;Jun.33;29.33;4587.33;11466.33;413.33;354.33;51.33;132.33;13.33;400.33;1838.33;0;1558.33;14.33;42.33;410.33;1613.33;71.33;Aug.33;773.33;189.33;69.33;281.33;205.33;2324.33;208.33;456.33;303.33;314.33;435.33;39.33;0;0;189.33;161.33;74.33;56.33;386.33;6805.33;7805.33;1533.33;753.33;333.33;155.33;1477.33;427.33;316.33;245.33;99.33;32.33;239.33;455.33;1532.33;89.33;0;212.33;437.33;573.33;98.33;1975.33;380.33;128.33;58.33;971.33;252.33;66.33;1746.33;115.33;1598.33;207.33;109.33;402.33;177.33;45.33;0;0;612.33;50.33;221.33;117.33;Dec.33;107.33;71.33;192.33;64.33;0;7018.33;47.33;54.33;161.33;0;129.33;22.33;59.33;0;72.33;0;71.33;0;0;40.33;24.33;0;146.33;59.33;0;0;0;0;0;0;60.33;0
0;0;2173.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56589.33;57563.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2228.33;37491.33;48472.33;0;0;1012.33;16908.33;0;0;57709.33;1264.33;0;3646.33;0;282.33;4225.33;0;668.33;0;0;0;7698.33;12696.33;0;51600.33;57362.33;50469.33;47815.33;45792.33;51837.33;57862.33;50107.33;19951.33;49726.33;44072.33;217.33;9130.33;5738.33;11852.33;33689.33;3328.33;9660.33;7252.33;39128.33;9936.33;2254.33;10603.33;21485.33;0;11820.33;507.33;0;17315.33;3391.33;5104.33;2181.33;0;1412.33;276.33;2882.33;0;0;2401.33;4422.33;0;15238.33;379.33;5528.33;0;4170.33;0;0;940.33;0;0;843.33;0;0;0;0;0;Jun.33;1147.33;1765.33;1598.33;1751.33;0;0;0;393.33;0;0;0;2198.33;8110.33;0;0;0;0;0;0;0;256.33;119.33;0;452.33;0;24.33;0;0;0;0;0;0;0;0;0;0;0;0;1505.33;0;4920.33;0;0;0;4642.33;0;0;0;1823.33;101.33;0;4011.33;0;0;0;649.33;224.33;0;0;0;0;0;0;0;0;0;0;0;0;6398.33;1581.33;633.33;0;641.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;534.83;474.83;0;0;336.83;0;673.83;0;0;0;1316.83;0;278.83;0;May.83;0;0;0;0;0;0;0;0;0;0;0;0;0;161.83;2330.83;511.83;0;0;7168.83;0;0;0;0;0;0;0;0;0;0;4598.83;43945.83;51046.83;0;0;8099.83;0;0;114.83;0;47.83;302.83;136.83;4193.83;0;128.83;0;925.83;603.83;0;0;27671.83;20970.83;5926.83;53688.83;61890.83;56130.83;58805.83;48734.83;55702.83;14065.83;52821.83;5424.83;50165.83;49455.83;20025.83;6378.83;2958.83;38809.83;39656.83;0;33285.83;1072.83;1274.83;1803.83;3956.83;3189.83;4149.83;176.83;0;768.83;0;5202.83;3242.83;8867.83;3029.83;3733.83;0;0;2384.83;0;Dec.83;1125.83;2966.83;32515.83;0;0;0;0;823.83;840.83;2076.83;953.83;2458.83;0;1228.83;2427.83;5452.83;540.83;350.83;0;159.83;23.83;893.83;1252.83;2074.83;1961.83;0;0;76.83;0;862.83;3381.83;0;142.83;0;0;0;0;329.83;0;202.83;0;745.83;0;0;0;4378.83;14.83;0;0;0;0;743.83;583.83;0;0;0;0;170.83;1643.83;638.83;0;0;8074.83;0;666.83;0;0;0;21.83;215.83;0;0;0;0;0;0;44.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89.83;0;0;0;635.83;744.83;0;0;0;0;0;126.83;0;0;0;0;0
5558.33;422.33;156.33;0;0;0;108.33;0;0;386.33;0;0;0;3640.33;0;2940.33;0;0;0;0;0;0;0;0;0;0;0;0;0;7591.33;9027.33;28158.33;4490.33;732.33;262.33;0;0;0;0;0;0;0;0;0;0;9335.33;17700.33;11579.33;0;0;3226.33;5203.33;86.33;327.33;1598.33;614.33;2907.33;753.33;135.33;229.33;609.33;298.33;172.33;0;0;0;5724.33;8514.33;2768.33;11779.33;21963.33;15442.33;14836.33;10977.33;16487.33;4908.33;10606.33;9310.33;11760.33;10327.33;4971.33;15490.33;5909.33;3374.33;12185.33;548.33;2624.33;12134.33;1519.33;2018.33;4168.33;6743.33;12507.33;665.33;1313.33;2645.33;2582.33;2972.33;6826.33;5856.33;2048.33;15004.33;2316.33;10853.33;1855.33;1942.33;8290.33;1289.33;332.33;372.33;1011.33;622.33;1015.33;5248.33;771.33;400.33;503.33;723.33;1910.33;1741.33;898.33;1348.33;1113.33;1063.33;576.33;158.33;2954.33;134.33;1158.33;1335.33;1135.33;1366.33;92.33;538.33;144.33;1717.33;1636.33;1585.33;326.33;731.33;2097.33;0;2676.33;3719.33;398.33;241.33;0;1333.33;1545.33;0;0;1280.33;500.33;296.33;0;0;0;45.33;357.33;1487.33;0;2249.33;95.33;1082.33;76.33;147.33;263.33;61.33;288.33;0;0;532.33;0;437.33;0;3808.33;674.33;895.33;0;8202.33;280.33;0;129.33;1361.33;353.33;0;0;0;323.33;0;0;66.33;0;0;0;0;0;0;0;0;104.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2300;305;3622;0;727;2347;2087;286;0;0;0;494;0;0;0;0;274;0;0;0;0;0;0;141;0;585;0;0;0;58149;13193;648;1455;0;0;0;325;0;0;0;0;0;161;151;0;6246;7583;6434;1547;775;5499;4844;5623;101;9114;1485;258;1983;2956;0;371;1099;509;13;2094;0;18771;12190;34911;9134;15232;12382;12064;8465;12068;27664;6943;8404;5384;4027;1836;1854;287;2866;6549;2692;1749;1509;1477;1005;1023;1382;1784;850;2326;16;1550;2638;3859;4714;1372;105;969;118;3060;3634;2195;730;0;474;0;3633;0;6103;541;0;784;695;314;305;4529;1015;4871;507;1282;0;0;1425;3645;924;3465;325;74;718;1250;197;1614;967;656;827;2302;7241;0;6376;704;0;4006;8;0;16;0;63;1012;1863;307;1934;475;1163;912;933;394;0;24;1257;172;0;0;383;387;478;28;321;136;9;0;232;0;645;2025;249;225;187;0;0;0;2323;120;0;276;447;1410;2081;0;11;0;0;814;0;0;0;0;0;0;0;106;0;929;0;2978;0;1694;24;920;0;0
178.33;666.33;297.33;0;192.33;2324.33;7058.33;1528.33;0;43.33;0;0;0;1873.33;0;508.33;589.33;484.33;0;363.33;0;0;234.33;0;224.33;0;0;0;0;54464.33;27018.33;1448.33;267.33;631.33;523.33;0;0;0;0;56.33;0;357.33;82.33;0;0;6255.33;25716.33;26303.33;0;0;12127.33;1360.33;516.33;13873.33;25235.33;409.33;Feb.33;340.33;329.33;379.33;670.33;1831.33;462.33;0;1945.33;254.33;25265.33;6271.33;243.33;26330.33;41102.33;32816.33;33797.33;26698.33;34017.33;6153.33;25266.33;11920.33;25361.33;22415.33;17017.33;2738.33;13330.33;133.33;21046.33;1605.33;960.33;8804.33;1072.33;17859.33;5336.33;3426.33;8173.33;2924.33;23095.33;0;0;1629.33;1682.33;1497.33;3974.33;3512.33;669.33;3690.33;674.33;1177.33;899.33;3758.33;56.33;2785.33;361.33;1217.33;2594.33;150.33;2177.33;139.33;3894.33;426.33;2311.33;1995.33;2474.33;4220.33;3239.33;115.33;1147.33;2931.33;1515.33;1889.33;1401.33;2078.33;3334.33;528.33;156.33;65.33;898.33;532.33;1915.33;660.33;860.33;1623.33;0;262.33;0;373.33;2080.33;0;0;580.33;1868.33;1732.33;544.33;1012.33;881.33;74.33;757.33;0;5223.33;686.33;1358.33;545.33;0;0;294.33;1885.33;1076.33;1016.33;1386.33;0;60.33;0;0;1322.33;1136.33;159.33;5273.33;2434.33;797.33;0;0;0;3999.33;0;0;1346.33;106.33;0;0;0;0;356.33;0;0;0;0;0;0;0;302.33;0;229.33;728.33;384.33;0;0;0;0;0;503.33;0;0;0;0;0;0;0
2295.5;823.5;3713.5;0;265.5;0;173.5;5269.5;0;1297.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1068.5;0;0;0;481.5;61582.5;61448.5;6127.5;180.5;3059.5;0;0;0;0;0;0;0;0;0;278.5;0;4322.5;5964.5;5039.5;0;0;4330.5;2009.5;0;1747.5;22366.5;680.5;258.5;2036.5;0;3670.5;1618.5;282.5;0;0;0;0;24083.5;14378.5;11260.5;4878.5;9465.5;9818.5;8481.5;15910.5;9853.5;1995.5;4848.5;16580.5;4682.5;3156.5;24497.5;1683.5;3399.5;3251.5;3390.5;31604.5;3550.5;1892.5;5930.5;1146.5;6816.5;7487.5;8556.5;1751.5;739.5;94.5;29599.5;3192.5;1054.5;15200.5;4284.5;1276.5;15851.5;3571.5;1200.5;564.5;2079.5;1453.5;0;943.5;0;1065.5;1578.5;29.May;1985.5;2033.5;654.5;492.5;1347.5;0;3048.5;2486.5;1184.5;34289.5;1766.5;1867.5;297.5;1645.5;1473.5;860.5;939.5;0;24130.5;19681.5;0;462.5;899.5;59.5;193.5;5729.5;0;132.5;0;0;677.5;3250.5;0;618.5;1078.5;232.5;0;45.5;420.5;167.5;275.5;0;0;250.5;458.5;1254.5;0;0;0;0;1836.5;571.5;2119.5;542.5;4919.5;0;0;5126.5;0;1995.5;4086.5;678.5;1338.5;0;0;0;0;0;5492.5;721.5;458.5;0;59.5;0;266.5;0;128.5;0;0;0;0;0;0;0;0;433.5;549.5;0;0;0;0;0;0;57.5;0;0;0;0;0;0;0
1374.67;0;5622.67;0;0;0;0;387.67;0;0;0;0;7203.67;0;0;0;0;0;0;0;0;0;576.67;0;0;0;0;0;0;58925.67;58677.67;4413.67;277.67;0;0;0;0;0;0;0;0;0;0;0;0;2659.67;5266.67;3685.67;0;0;7013.67;39004.67;648.67;0;0;6666.67;0;2751.67;14553.67;0;235.67;0;0;0;0;0;21970.67;58921.67;23920.67;4969.67;7957.67;7323.67;6259.67;4255.67;7769.67;6993.67;3905.67;17057.67;4338.67;3181.67;2792.67;12250.67;58761.67;0;3677.67;13673.67;0;9003.67;3552.67;26906.67;753.67;1550.67;3652.67;3940.67;3321.67;0;0;29345.67;11043.67;1324.67;3139.67;83.67;0;0;6254.67;0;242.67;21211.67;2733.67;2186.67;1871.67;2555.67;220.67;0;9593.67;0;2793.67;916.67;1062.67;0;0;2741.67;309.67;0;82.67;0;0;1235.67;1046.67;0;2347.67;0;0;2145.67;0;2776.67;0;5751.67;50.67;414.67;0;1654.67;0;0;0;0;5684.67;0;42.67;0;0;1639.67;0;834.67;365.67;0;0;841.67;898.67;1197.67;0;0;0;0;0;0;0;950.67;0;0;0;275.67;330.67;26.67;0;0;0;0;0;0;0;0;0;0;0;247.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;529.5;208.5;0;1343.5;4804.5;827.5;6558.5;0;1422.5;0;388.5;0;1946.5;0;514.5;1357.5;0;0;0;0;0;0;0;343.5;0;0;0;0;60792.5;60847.5;9031.5;2546.5;0;4401.5;0;0;0;0;0;0;0;185.5;0;0;2773.5;45052.5;59456.5;0;0;3702.5;1128.5;40.5;164.5;3235.5;2033.5;941.5;1242.5;661.5;211.5;3053.5;155.5;2685.5;1470.5;0;0;60823.5;25936.5;799.5;58895.5;60808.5;60795.5;60787.5;47840.5;56701.5;26852.5;58773.5;21560.5;60788.5;60903.5;29178.5;13977.5;10628.5;13734.5;47330.5;31437.5;11808.5;4729.5;1231.5;8701.5;11103.5;5696.5;5137.5;9355.5;15774.5;2444.5;2334.5;4970.5;5378.5;5098.5;10289.5;7507.5;1986.5;396.5;4605.5;0;2347.5;5475.5;5038.5;40107.5;9245.5;1633.5;5939.5;10749.5;3884.5;2056.5;1122.5;258.5;3998.5;932.5;16048.5;2965.5;1139.5;8859.5;331.5;1652.5;0;1353.5;4614.5;3185.5;2003.5;25146.5;0;5139.5;1625.5;409.5;1080.5;1128.5;213.5;905.5;0;0;0;2443.5;977.5;0;0;0;1934.5;3207.5;222.5;4121.5;1469.5;3252.5;60755.5;0;751.5;1932.5;1409.5;376.5;0;0;0;790.5;610.5;0;1685.5;248.5;0;304.5;0;1224.5;5315.5;0;7411.5;0;112.5;0;960.5;0;0;15959.5;32.5;39.5;0;0;357.5;0;0;0;0;7869.5;0;0;0;6603.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
